name,manager_tenure,inception_date,asset_in_mil,turnover_rates,minimum_investment,load,net_expense_ratio,gross_expense_ratio
Morgan Stanley Insight Fund Class I (CPODX),20 years,"$7,815.82",07/28/1997,17%,"$5,000,000",N,0.84%,0.84%
Morgan Stanley Insight Fund Class A (CPOAX),20 years,"$7,815.82",07/28/1997,17%,"$2,500",Y,1.1%,1.1%
Jacob Discovery Fund Institutional Class shares (JMIGX),20 years,$109.44,12/31/1997,83%,"$100,000",N,2.01%,2.91%
Jacob Discovery Fund Investor Class shares (JMCGX),20 years,$109.44,05/01/2001,83%,"$2,500",N,2.31%,3.16%
Rydex Electronics Fund Class C (RYSCX),20 years,$50.02,04/01/1998,163%,"$2,500",N,2.44%,2.44%
Morgan Stanley Insight Fund Class C (MSCMX),20 years,"$7,815.82",07/28/1997,17%,"$2,500",N,1.84%,1.84%
American Beacon ARK Transformational Innovation Fund Investor Class (ADNPX),20 years,"$1,048.90",01/27/2017,61%,"$2,500",N,1.34%,1.38%
American Beacon ARK Transformational Innovation Fund Class A (ADNAX),20 years,"$1,048.90",01/27/2017,61%,"$2,500",Y,1.37%,1.37%
"Morgan Stanley Institutional Fund, Inc. Growth Portfolio Class I (MSEQX)",20 years,"$19,689.70",04/02/1991,60%,"$5,000,000",N,0.55%,0.55%
AXS Thomson Reuters Venture Capital Return Tracker Fund Class I Shares (LDVIX),20 years,$420.25,10/01/2014,115%,"$5,000",N,1.51%,1.49%
Baron Opportunity Fund Institutional Class (BIOIX),20 years,"$1,725.96",02/29/2000,42.52%,"$1,000,000",N,1.08%,1.08%
"Morgan Stanley Institutional Fund, Inc. Growth Portfolio Class A (MSEGX)",20 years,"$19,689.70",04/02/1991,60%,"$2,500",Y,0.8%,0.8%
AXS Thomson Reuters Venture Capital Return Tracker Fund Class A Shares (LDVAX),20 years,$420.25,10/01/2014,115%,"$2,500",Y,1.76%,1.74%
Baron Opportunity Fund Retail Class (BIOPX),20 years,"$1,725.96",02/29/2000,42.52%,"$2,500",N,1.34%,1.34%
Needham Small Cap Growth Fund Institutional Class (NESIX),20 years,$307.12,05/22/2002,191%,"$100,000",N,1.22%,1.61%
BlackRock Technology Opportunities Fund Institutional Shares (BGSIX),20 years,"$9,340.85",05/15/2000,25%,"$2,000,000",N,0.93%,0.93%
American Beacon ARK Transformational Innovation Fund Class C (ADNCX),20 years,"$1,048.90",01/27/2017,61%,"$2,500",N,2.12%,2.12%
BlackRock Technology Opportunities Fund Service Shares (BSTSX),20 years,"$9,340.85",05/15/2000,25%,"$5,000",N,1.18%,1.2%
BlackRock Technology Opportunities Fund Investor A Shares (BGSAX),20 years,"$9,340.85",05/15/2000,25%,"$1,000",Y,1.18%,1.2%
"Morgan Stanley Institutional Fund, Inc. Growth Portfolio Class C (MSGUX)",20 years,"$19,689.70",04/02/1991,60%,"$2,500",N,1.54%,1.54%
AXS Thomson Reuters Venture Capital Return Tracker Fund Class C Shares (LDVCX),20 years,$420.25,10/01/2014,115%,"$2,500",N,2.51%,2.49%
Needham Small Cap Growth Fund Retail Class (NESGX),20 years,$307.12,05/22/2002,191%,"$2,500",N,1.89%,1.89%
Berkshire Focus Fund (BFOCX),20 years,$844.01,07/01/1997,"1,599.1%","$5,000",N,1.93%,1.93%
Transamerica Capital Growth Fund Class I (TFOIX),20 years,"$6,120.27",03/01/1999,52%,"$1,000,000",N,0.83%,0.83%
Baron Global Advantage Fund Institutional Shares (BGAIX),20 years,"$2,911.38",04/30/2012,8.75%,"$1,000,000",N,0.9%,0.92%
Virtus Zevenbergen Innovative Growth Stock Fund Class I (SCATX),20 years,"$1,364.70",02/23/2004,33%,"$100,000",N,1%,1.07%
Transamerica Capital Growth Fund Class A (IALAX),20 years,"$6,120.27",03/01/1999,52%,"$2,500",Y,1.07%,1.07%
Baron Global Advantage Fund Retail Shares (BGAFX),20 years,"$2,911.38",04/30/2012,8.75%,"$2,500",N,1.15%,1.17%
Guinness Atkinson Alternative Energy Fund (GAAEX),20 years,$36.03,03/31/2006,35%,"$2,500",N,1.98%,2.46%
Virtus Zevenbergen Innovative Growth Stock Fund Class A (SAGAX),20 years,"$1,364.70",02/23/2004,33%,"$2,500",Y,1.25%,1.33%
BlackRock Technology Opportunities Fund Investor C Shares (BGSCX),20 years,"$9,340.85",05/15/2000,25%,"$1,000",N,1.92%,1.92%
Transamerica Capital Growth Fund Class C (ILLLX),20 years,"$6,120.27",03/01/1999,52%,"$2,500",N,1.82%,1.82%
Artisan Developing World Fund Advisor Shares (APDYX),20 years,"$8,730.35",06/29/2015,138.63%,"$250,000",N,1.13%,1.13%
Columbia Seligman Global Technology Fund Class A (SHGTX),20 years,"$2,078.72",05/23/1994,38%,"$2,500",Y,1.31%,1.31%
Firsthand Alternative Energy Fund (ALTEX),20 years,$19.75,10/29/2007,14%,"$2,500",N,2.01%,2.12%
Artisan Developing World Fund Investor Shares (ARTYX),20 years,"$8,730.35",06/29/2015,138.63%,"$2,500",N,1.28%,1.28%
Matthews China Small Companies Fund Institutional Class Shares (MICHX),20 years,$442.37,05/31/2011,152.86%,"$100,000",N,1.2%,1.37%
Fidelity® Select Technology Portfolio (FSPTX),20 years,"$13,142.43",07/14/1981,76%,$0,N,0.69%,0.69%
Matthews China Small Companies Fund (MCSMX),20 years,$442.37,05/31/2011,152.86%,"$2,500",N,1.43%,1.52%
Putnam Global Technology Fund Class A (PGTAX),20 years,"$1,239.64",12/18/2008,79%,"$2,500",Y,1.1%,1.1%
Columbia Seligman Technology and Information Fund Class A (SLMCX),20 years,"$11,190.26",06/23/1983,32%,"$2,500",Y,1.19%,1.19%
Needham Aggressive Growth Fund Institutional Class (NEAIX),20 years,$103.83,09/04/2001,13%,"$100,000",N,1.18%,1.71%
Columbia Seligman Global Technology Fund Class C (SHTCX),20 years,"$2,078.72",05/23/1994,38%,"$2,500",N,2.06%,2.06%
Driehaus Small Cap Growth Fund Institutional Class (DNSMX),20 years,$557.07,08/21/2017,164%,"$500,000",N,0.8%,0.8%
Needham Aggressive Growth Fund Retail Class (NEAGX),20 years,$103.83,09/04/2001,13%,"$2,500",N,1.85%,1.96%
Driehaus Small Cap Growth Fund Investor Class (DVSMX),20 years,$557.07,08/21/2017,164%,"$10,000",N,1.2%,1.35%
American Century Investments Focused Dynamic Growth Fund I Class (ACFSX),20 years,"$2,850.17",05/31/2006,12%,"$5,000,000",N,0.65%,0.65%
Putnam Global Technology Fund Class C (PGTDX),20 years,"$1,239.64",12/18/2008,79%,"$2,500",N,1.85%,1.85%
Columbia Seligman Technology and Information Fund Class C (SCICX),20 years,"$11,190.26",06/23/1983,32%,"$2,500",N,1.94%,1.94%
Lord Abbett Growth Leaders Fund Class A (LGLAX),20 years,"$10,412.13",06/30/2011,93%,"$2,500",Y,0.9%,0.9%
American Century Investments Focused Dynamic Growth Fund Investor Class (ACFOX),20 years,"$2,850.17",05/31/2006,12%,"$2,500",N,0.85%,0.85%
Wasatch Emerging Markets Select Fund Institutional Class Shares (WIESX),20 years,$365.83,12/13/2012,35%,"$100,000",N,1.21%,1.41%
Touchstone Sands Capital Select Growth Fund Class Y (CFSIX),20 years,"$6,653.23",08/11/2000,41%,"$2,500",N,0.94%,0.95%
American Century Investments Focused Dynamic Growth Fund A Class (ACFDX),20 years,"$2,850.17",05/31/2006,12%,$250,Y,1.1%,1.1%
Touchstone Sands Capital Select Growth Fund Institutional Class (CISGX),20 years,"$6,653.23",08/11/2000,41%,"$500,000",N,0.82%,"1,344.62%"
Firsthand Technology Opportunities Fund (TEFQX),20 years,$377.18,09/30/1999,65%,"$2,500",N,1.85%,1.85%
Wasatch Emerging Markets Select Fund Investor Class Shares (WAESX),20 years,$365.83,12/13/2012,35%,"$2,500",N,1.51%,1.8%
Touchstone Sands Capital Select Growth Fund Class A (TSNAX),20 years,"$6,653.23",08/11/2000,41%,"$2,500",Y,1.17%,1.2%
Touchstone Sands Capital Select Growth Fund Class Z (PTSGX),20 years,"$6,653.23",08/11/2000,41%,"$2,500",N,1.18%,1.27%
Fidelity® Blue Chip Growth Fund (FBGRX),20 years,"$60,793.39",12/31/1987,41%,$0,N,0.79%,0.79%
PGIM Jennison Emerging Markets Equity Opportunities Fund- Class Z (PDEZX),20 years,"$1,002.84",09/16/2014,58%,"$2,500",N,1.05%,1.16%
"Morgan Stanley Institutional Fund, Inc. Global Insight Portfolio Class I (MIGIX)",20 years,$426.93,12/28/2010,85%,"$5,000,000",N,1%,1.11%
PGIM Jennison Global Opportunities Fund-Class Z (PRJZX),20 years,"$9,409.40",03/14/2012,57%,"$2,500",N,0.93%,0.93%
Baron WealthBuilder Fund Institutional Shares (BWBIX),20 years,$544.87,12/29/2017,6.65%,"$1,000,000",N,1.11%,1.22%
Janus Henderson Global Technology and Innovation Fund Class I (JATIX),20 years,"$6,833.26",12/31/1998,37%,"$2,500",N,0.75%,0.75%
PGIM Jennison Global Opportunities Fund-Class A (PRJAX),20 years,"$9,409.40",03/14/2012,57%,"$2,500",Y,1.08%,1.24%
PGIM Jennison Emerging Markets Equity Opportunities Fund- Class A (PDEAX),20 years,"$1,002.84",09/16/2014,58%,"$2,500",Y,1.3%,1.63%
Fidelity® Select Automotive Portfolio (FSAVX),20 years,$211.70,06/30/1986,80%,$0,N,0.88%,0.88%
PGIM Jennison Technology Fund Class Z (PGKZX),20 years,$30.97,06/19/2018,74%,"$2,500",N,0.85%,1.98%
"Morgan Stanley Institutional Fund, Inc. Global Insight Portfolio Class A (MIGPX)",20 years,$426.93,12/28/2010,85%,"$2,500",Y,1.32%,1.37%
Janus Henderson Global Technology and Innovation Fund Class T (JAGTX),20 years,"$6,833.26",12/31/1998,37%,"$2,500",N,0.92%,0.92%
Baron WealthBuilder Fund Retail Shares (BWBFX),20 years,$544.87,12/29/2017,6.65%,"$2,500",N,1.36%,1.47%
Touchstone Sands Capital Select Growth Fund Class C (TSNCX),20 years,"$6,653.23",08/11/2000,41%,"$2,500",N,1.78%,2%
PGIM Jennison International Opportunities Fund- Class Z (PWJZX),20 years,"$6,241.12",06/05/2012,43%,"$2,500",N,0.9%,0.99%
Franklin DynaTech Fund Class A (FKDNX),20 years,"$30,169.44",01/02/1968,13.82%,"$1,000",Y,0.85%,0.86%
Matthews Asia Innovators Fund Institutional Class Shares (MITEX),20 years,"$1,768.87",12/27/1999,119.81%,"$100,000",N,0.95%,0.95%
ClearBridge Select Fund Class I (LBFIX),20 years,"$3,420.89",11/30/2012,24%,"$1,000,000",N,1.12%,1.12%
PGIM Jennison International Opportunities Fund- Class A (PWJAX),20 years,"$6,241.12",06/05/2012,43%,"$2,500",Y,1.09%,1.34%
Virtus AllianzGI Mid-Cap Growth Fund Institutional Class (DRMCX),20 years,$521.45,11/06/1979,53%,"$1,000,000",N,0.77%,0.77%
Matthews Asia Innovators Fund Investor Class Shares (MATFX),20 years,"$1,768.87",12/27/1999,119.81%,"$2,500",N,1.1%,1.1%
Needham Growth Fund Institutional Class (NEEIX),20 years,$203.81,01/02/1996,15%,"$100,000",N,1.4%,1.58%
Delaware Small Cap Growth Fund Class A (DSGDX),20 years,$233.75,06/30/2016,118%,"$2,500",Y,1.3%,1.31%
PGIM Jennison Emerging Markets Equity Opportunities Fund- Class C (PDECX),20 years,"$1,002.84",09/16/2014,58%,"$2,500",N,2.05%,2.81%
ClearBridge Select Fund Class A (LCLAX),20 years,"$3,420.89",11/30/2012,24%,"$1,000",Y,1.4%,1.4%
Fidelity® Select Construction and Housing Portfolio (FSHOX),20 years,$649.70,09/29/1986,69%,$0,N,0.78%,0.78%
Virtus AllianzGI Mid-Cap Growth Fund Class A (RMDAX),20 years,$521.45,11/06/1979,53%,"$2,500",Y,0.97%,0.97%
PGIM Jennison Global Opportunities Fund-Class C (PRJCX),20 years,"$9,409.40",03/14/2012,57%,"$2,500",N,1.93%,1.93%
Quantified STF Fund Investor Class (QSTFX),20 years,$184.27,11/13/2015,238%,"$10,000",N,1.65%,1.65%
Virtus KAR Mid-Cap Growth Fund Class I (PICMX),20 years,"$3,601.53",12/31/1975,14%,"$100,000",N,1.05%,1.05%
Needham Growth Fund Retail Class (NEEGX),20 years,$203.81,01/02/1996,15%,"$2,500",N,1.85%,1.85%
Artisan Mid Cap Fund Advisor Class (APDMX),20 years,"$7,450.78",06/27/1997,44.52%,"$250,000",N,1.05%,1.05%
Virtus KAR Mid-Cap Growth Fund Class A (PHSKX),20 years,"$3,601.53",12/31/1975,14%,"$2,500",Y,1.28%,1.28%
Franklin DynaTech Fund Class C (FDYNX),20 years,"$30,169.44",01/02/1968,13.82%,"$1,000",N,1.6%,1.61%
Baron Real Estate Fund Institutional Shares (BREIX),20 years,"$1,955.25",12/31/2009,71.46%,"$1,000,000",N,1.08%,1.08%
Artisan Mid Cap Fund Investor Class (ARTMX),20 years,"$7,450.78",06/27/1997,44.52%,"$2,500",N,1.18%,1.18%
PGIM Jennison International Opportunities Fund- Class C (PWJCX),20 years,"$6,241.12",06/05/2012,43%,"$2,500",N,1.9%,2.15%
PGIM Jennison Focused Growth Fund-Class Z (SPFZX),20 years,"$1,412.16",06/02/2000,74%,"$2,500",N,0.75%,0.81%
Baron Real Estate Fund Retail Shares (BREFX),20 years,"$1,955.25",12/31/2009,71.46%,"$2,500",N,1.34%,1.34%
Virtus AllianzGI Mid-Cap Growth Fund Class C (RMDCX),20 years,$521.45,11/06/1979,53%,"$2,500",N,1.72%,1.72%
Quantified STF Fund Advisor Class (QSTAX),20 years,$184.27,11/13/2015,238%,"$10,000",N,2.26%,2.26%
Virtus AllianzGI Technology Fund Institutional Class (DRGTX),20 years,"$2,569.37",12/27/1995,212%,"$1,000,000",N,1.15%,1.15%
Rydex Technology Fund Class Investor (RYTIX),20 years,$100.48,04/14/1998,195%,"$2,500",N,1.44%,1.44%
Wells Fargo Specialized Technology Fund Institutional Class (WFTIX),20 years,$772.53,09/18/2000,146%,"$1,000,000",N,1.03%,1.03%
Buffalo Small Cap Fund Institutional Class (BUISX),20 years,"$1,287.87",04/14/1998,63%,"$250,000",N,0.86%,0.86%
Franklin Focused Growth Fund Class A (FFQBX),20 years,$125.51,04/12/2016,33.93%,"$1,000",Y,1.12%,1.95%
PGIM Jennison Focused Growth Fund-Class A (SPFAX),20 years,"$1,412.16",06/02/2000,74%,"$2,500",Y,1.07%,1.15%
Osterweis Emerging Opportunity Fund (OSTGX),20 years,$272.46,11/30/2016,111%,"$5,000",N,1.11%,1.2%
Buffalo Small Cap Fund (BUFSX),20 years,"$1,287.87",04/14/1998,63%,"$2,500",N,1.01%,1.01%
Kinetics Internet Fund No Load Class (WWWFX),20 years,$278.62,10/21/1996,1%,"$2,500",N,2.07%,2.07%
Emerald Insights Fund Class A (EFCAX),20 years,$24.73,08/01/2014,89%,"$2,500",Y,1.36%,1.93%
Emerald Insights Fund Investor Class (EFCNX),20 years,$24.73,08/01/2014,89%,"$2,500",N,1.41%,1.99%
Rydex Technology Fund Class A (RYTHX),20 years,$100.48,04/14/1998,195%,"$2,500",Y,1.69%,1.69%
Rydex Technology Fund Class H (RYTAX),20 years,$100.48,04/29/1998,195%,"$2,500",N,1.74%,1.74%
Wells Fargo Specialized Technology Fund - Class Admin (WFTDX),20 years,$772.53,09/18/2000,146%,$0,N,1.28%,1.28%
Virtus KAR Mid-Cap Growth Fund Class C (PSKCX),20 years,"$3,601.53",12/31/1975,14%,"$2,500",N,2.04%,2.04%
Virtus AllianzGI Technology Fund Class A (RAGTX),20 years,"$2,569.37",12/27/1995,212%,"$2,500",Y,1.42%,1.42%
Columbia Global Technology Growth Fund Class A (CTCAX),20 years,"$3,234.88",11/09/2000,18%,"$2,500",Y,1.22%,1.22%
Wells Fargo Specialized Technology Fund - Class A (WFSTX),20 years,$772.53,09/18/2000,146%,"$1,000",Y,1.36%,1.36%
Vanguard U.S. Growth Fund Investor Shares (VWUSX),20 years,"$55,409.64",01/06/1959,41%,"$3,000",N,0.38%,0.38%
Pear Tree Essex Environmental Opportunities Fund Institutional Shares (GEOSX),20 years,$74.44,09/01/2017,37%,"$1,000,000",N,1.05%,1.32%
Wells Fargo Enterprise Fund - Class Inst (WFEIX),20 years,"$1,254.08",02/24/2000,62%,"$1,000,000",N,0.85%,0.91%
Sparrow Growth Fund Class A (SGFFX),20 years,$76.65,10/02/1998,13.14%,"$2,500",Y,2.02%,2.02%
New Alternatives Fund Class A (NALFX),20 years,$490.25,09/03/1982,20.34%,"$2,500",Y,0.96%,0.96%
PGIM Jennison Growth Fund- Class Z (PJFZX),20 years,"$9,143.97",11/02/1995,49%,"$2,500",N,0.69%,0.69%
Shelton Capital Management Nasdaq-100 Index Fund Direct Shares (NASDX),20 years,"$1,255.26",01/18/2000,12%,"$2,500",N,0.5%,0.7%
JPMorgan Growth Advantage Fund Class I (JGASX),20 years,"$16,413.14",10/29/1999,47%,"$1,000,000",N,0.79%,0.88%
Wasatch Emerging Markets Small Cap Fund® Institutional Class (WIEMX),20 years,$692.13,10/01/2007,20%,"$100,000",N,1.81%,1.81%
DWS Science and Technology Fund - Class Inst (KTCIX),20 years,"$1,524.34",09/07/1948,18%,"$1,000,000",N,0.69%,0.69%
"Morgan Stanley Institutional Fund, Inc. Emerging Markets Leaders Portfolio Class I (MELIX)",20 years,$343.75,06/30/2011,57%,"$5,000,000",N,1.2%,1.47%
Brown Advisory Sustainable Growth Fund Investor Shares (BIAWX),20 years,"$7,144.00",06/29/2012,23%,"$2,500",N,0.86%,0.86%
Wasatch Emerging Markets Small Cap Fund® Investor Class (WAEMX),20 years,$692.13,10/01/2007,20%,"$2,500",N,1.95%,1.95%
USAA NASDAQ-100 Index Fund (USNQX),20 years,"$4,418.58",10/27/2000,9%,"$3,000",N,0.44%,0.44%
Sands Capital Global Growth Fund Institutional Shares (SCMGX),20 years,"$2,789.49",03/31/2010,23%,"$1,000,000",N,0.96%,0.96%
Calvert Global Energy Solutions Fund Class I (CAEIX),20 years,$249.62,05/31/2007,45%,"$250,000",N,0.99%,1.29%
Pear Tree Essex Environmental Opportunities Fund Ordinary Shares (EEOFX),20 years,$74.44,09/01/2017,37%,"$2,500",N,1.26%,1.57%
Alger Weatherbie Specialized Growth Fund Class Z (ASMZX),20 years,"$1,778.48",05/08/2002,66.84%,"$500,000",N,0.94%,0.94%
Wells Fargo Enterprise Fund - Class Admin (SEPKX),20 years,"$1,254.08",02/24/2000,62%,$0,N,1.1%,1.16%
DWS Science and Technology Fund - Class A (KTCAX),20 years,"$1,524.34",09/07/1948,18%,"$2,500",Y,0.9%,0.9%
JPMorgan Growth Advantage Fund Class A (VHIAX),20 years,"$16,413.14",10/29/1999,47%,"$1,000",Y,1.04%,1.14%
JPMorgan Large Cap Growth Fund Class I (SEEGX),20 years,"$40,714.81",02/28/1992,47%,"$1,000,000",N,0.69%,0.77%
Wells Fargo Enterprise Fund - Class A (SENAX),20 years,"$1,254.08",02/24/2000,62%,"$1,000",Y,1.18%,1.24%
PGIM Jennison Growth Fund- Class A (PJFAX),20 years,"$9,143.97",11/02/1995,49%,"$2,500",Y,1%,1%
Sands Capital Global Growth Fund Investor Shares (SCGVX),20 years,"$2,789.49",03/31/2010,23%,"$100,000",N,1.16%,1.16%
Brown Advisory Sustainable Growth Fund Advisor Shares (BAWAX),20 years,"$7,144.00",06/29/2012,23%,"$2,500",N,1.11%,1.11%
Fidelity® Select Software and IT Services Portfolio (FSCSX),20 years,"$13,843.27",07/29/1985,5%,$0,N,0.7%,0.7%
Franklin Focused Growth Fund Class C (FFQCX),20 years,$125.51,04/12/2016,33.93%,"$1,000",N,1.87%,2.7%
PGIM Jennison Focused Growth Fund-Class C (SPFCX),20 years,"$1,412.16",06/02/2000,74%,"$2,500",N,1.79%,1.82%
Emerald Insights Fund Class C (EFCCX),20 years,$24.73,08/01/2014,89%,"$2,500",N,2.01%,2.58%
USAA Nasdaq 100 Index Fund Class A (UANQX),20 years,"$4,418.58",10/27/2000,9%,"$2,500",Y,0.7%,46.99%
"Morgan Stanley Institutional Fund, Inc. Emerging Markets Leaders Portfolio Class A (MELAX)",20 years,$343.75,01/05/2015,57%,"$2,500",Y,1.55%,1.82%
Harbor Capital Appreciation Fund Institutional Class (HACAX),20 years,"$42,272.56",12/29/1987,51%,"$50,000",N,0.67%,0.72%
Calvert Global Energy Solutions Fund Class A (CGAEX),20 years,$249.62,05/31/2007,45%,"$2,500",Y,1.24%,1.54%
T. Rowe Price Communications & Technology Fund Investor Class (PRMTX),20 years,"$12,448.44",10/13/1993,19.1%,"$2,500",N,0.75%,0.75%
Fidelity® OTC Portfolio (FOCPX),20 years,"$31,782.54",12/31/1984,28%,$0,N,0.8%,0.8%
Goldman Sachs Technology Opportunities Fund Class A (GITAX),20 years,$948.02,10/01/1999,41%,"$1,000",Y,1.27%,1.44%
JPMorgan Large Cap Growth Fund Class A (OLGAX),20 years,"$40,714.81",02/28/1992,47%,"$1,000",Y,0.94%,1.03%
Alger Weatherbie Specialized Growth Fund Class A (ALMAX),20 years,"$1,778.48",05/08/2002,66.84%,"$2,500",Y,1.27%,1.27%
American Century Ultra® Fund I Class (TWUIX),20 years,"$22,177.15",11/02/1981,6%,"$5,000,000",N,0.75%,0.77%
Alger Mid Cap Growth Fund Class Z (AMCZX),20 years,$339.28,05/24/1993,181.73%,"$500,000",N,0.99%,0.99%
Rydex Technology Fund Class C (RYCHX),20 years,$100.48,04/14/1998,195%,"$2,500",N,2.44%,2.44%
OCM Gold Fund Advisors Class (OCMAX),20 years,$68.77,02/04/1988,1%,"$2,500",N,1.79%,1.79%
Virtus AllianzGI Technology Fund Class C (RCGTX),20 years,"$2,569.37",12/27/1995,212%,"$2,500",N,2.17%,2.17%
Wells Fargo Specialized Technology Fund - Class C (WFTCX),20 years,$772.53,09/18/2000,146%,"$1,000",N,2.11%,2.11%
Columbia Global Technology Growth Fund Class C (CTHCX),20 years,"$3,234.88",11/09/2000,18%,"$2,500",N,1.97%,1.97%
ClearBridge Mid Cap Growth Fund Class I (LBGIX),20 years,$200.91,08/31/2010,28%,"$1,000,000",N,0.85%,1.13%
American Century Ultra® Fund Investor Class (TWCUX),20 years,"$22,177.15",11/02/1981,6%,"$2,500",N,0.95%,0.97%
JPMorgan Growth Advantage Fund Class C (JGACX),20 years,"$16,413.14",10/29/1999,47%,"$1,000",N,1.54%,1.63%
"Morgan Stanley Institutional Fund, Inc. Advantage Portfolio Class I (MPAIX)",20 years,"$1,000.81",06/30/2008,73%,"$5,000,000",N,0.85%,0.89%
Marsico Growth Fund (MGRIX),20 years,$427.58,12/31/1997,77%,"$2,500",N,1.45%,1.5%
Harbor Capital Appreciation Fund Investor Class (HCAIX),20 years,"$42,272.56",12/29/1987,51%,"$2,500",N,1.03%,1.08%
BNY Mellon Technology Growth Fund Class A (DTGRX),20 years,$504.67,10/13/1997,54.26%,"$2,500",Y,1.2%,1.2%
Alger Mid Cap Growth Fund Class A (AMGAX),20 years,$339.28,05/24/1993,181.73%,"$2,500",Y,1.3%,1.3%
Principal Blue Chip Fund Institutional Class (PBCKX),20 years,"$11,365.98",06/14/2012,25.6%,"$1,000,000",N,0.66%,0.71%
Delaware Smid Cap Growth Fund Class A (DFCIX),20 years,"$4,903.65",03/27/1986,79%,"$2,500",Y,1.05%,1.05%
Wells Fargo Endeavor Select Fund - Class Inst (WFCIX),20 years,$315.52,12/29/2000,21%,"$1,000,000",N,0.7%,0.93%
PGIM Jennison Growth Fund- Class C (PJFCX),20 years,"$9,143.97",11/02/1995,49%,"$2,500",N,1.68%,1.68%
American Century Ultra® Fund A Class (TWUAX),20 years,"$22,177.15",11/02/1981,6%,$250,Y,1.2%,1.22%
ClearBridge Mid Cap Growth Fund Class A (LBGAX),20 years,$200.91,08/31/2010,28%,"$1,000",Y,1.2%,1.43%
Harbor Disruptive Innovation Institutional Class (HAMGX),20 years,$347.55,11/01/2000,113%,"$50,000",N,0.58%,0.86%
JPMorgan Large Cap Growth Fund Class C (OLGCX),20 years,"$40,714.81",02/28/1992,47%,"$1,000",N,1.44%,1.52%
Wells Fargo Enterprise Fund - Class C (WENCX),20 years,"$1,254.08",02/24/2000,62%,"$1,000",N,1.93%,1.99%
TCW Select Equities Fund Class I (TGCEX),20 years,"$1,003.40",02/26/1993,4.09%,"$2,000",N,0.76%,0.76%
"Morgan Stanley Institutional Fund, Inc. Advantage Portfolio Class A (MAPPX)",20 years,"$1,000.81",06/30/2008,73%,"$2,500",Y,1.16%,1.16%
Rydex NASDAQ-100® Fund Investor Class (RYOCX),20 years,"$1,950.43",02/14/1994,57%,"$2,500",N,1.33%,1.33%
Franklin Small-Mid Cap Growth Fund Class A (FRSGX),20 years,"$6,287.42",02/14/1992,53.69%,"$1,000",Y,0.86%,0.87%
Wells Fargo Endeavor Select Fund - Class Admin (WECDX),20 years,$315.52,12/29/2000,21%,$0,N,0.94%,1.18%
DWS Science and Technology Fund - Class C (KTCCX),20 years,"$1,524.34",09/07/1948,18%,"$2,500",N,1.74%,1.74%
Dunham Focused Large Cap Growth Fund Class N (DNFGX),20 years,$208.12,12/08/2011,17%,"$100,000",N,1.3%,1.3%
USAA Nasdaq 100 Index Fund C Shares (UCNQX),20 years,"$4,418.58",10/27/2000,9%,"$2,500",N,1.45%,20.93%
Principal Blue Chip Fund Class A (PBLAX),20 years,"$11,365.98",06/14/2012,25.6%,"$2,500",Y,0.94%,0.98%
Brown Capital Management Mid Company Fund Investor Shares (BCMSX),20 years,$60.27,09/30/2002,10%,"$5,000",N,1.15%,1.64%
